,question,answer,label
0,điểm chuẩn vào trường giữa hệ clc và hệ chính quy có khác nhau không?,có.,admiss_associate
1,giữa hệ clc và hệ chính quy có khác nhau về điểm chuẩn đầu vào không?,có.,admiss_associate
2,bạn học tiêu chuẩn hay là clc?,tôi học tiêu chuẩn,admiss_associate
3,lưu ý với chương trình clc?,"thí  sinh là người nước ngoài thì không cần tiếng anh, thí sinh trong nước phải có trình độ ielts >= 5.0 hoặc thi đầu vào",admiss_associate
4,trường có liên kết vơi nước ngoài không ?,có,admiss_associate
5,trường đại học liên kết với tdt?,"đại học west of england, bristol (vương quốc anh); đại học khoa học ứng dụng saxion (hà lan); đại học kinh tế praha, đại học kỹ thuật ostrava (cộng hòa séc); đại học taylor’s (malaysia); đại học khoa học và công nghệ quốc gia penghu, đại học khoa học và công nghệ lunghwa, đại học feng chia (đài loan),..",admiss_associate
6,ưu điểm của việc học đại học liên kết tdt?,"được học tăng cường tiếng anh trong mô hình nước anh thu nhỏ “little uk” và không gian mở (lần đầu tiên được triển khai tại tdtu), bảo đảm năng lực học trực tiếp bằng tiếng anh trong chương trình liên kết và dễ dàng chuyển tiếp đi du học ở nước ngoài vào 2 năm cuối",admiss_associate
7,trường đh tdtu có liên kết với các trường quốc tế hay không?,có,admiss_associate
8,trường đại học tôn đúc thắng có liên kết với canada không ?,có,admiss_associate
9,thí sinh tự do có được xét học bạ không?,được xét học bạ hệ cao đẳng và chương trình liên kết quốc tế.,admiss_associate
10,trường có liên kết với các trường đại học của úc không ạ?,có,admiss_associate
11,em thấy các trường khác có liên kết với các trường nước ngoài để sinh viên có cơ hội ra học tập tại nước ngoài. vậy trường mình có chương trình đó không ạ?,"tdtu có đào tạo một số ngành liên kết. khi đăng ký học phần này, sinh viên sẽ học 2 năm trong nước và 2 năm học tập ở nước ngoài.",admiss_associate
12,tdt có học liên kết không?,có,admiss_associate
13,điều kiện ứng tuyển chương trình du học luân chuyển campus là gì ?,"học sinh đã tốt nghiệp thpt hoặc tương đương , trình độ tiếng anh đạt b2 theo khung tham chiếu châu âu",admiss_associate
14,trường tdtu liên kết với bao nhiêu trường trong chương trình du học luân chuyển campus ?,8 trường,admiss_associate
15,các trường liên kết với tdtu trong chương trình du học luân chuyển campus ?,"đại học west of england bristol ,đại học kinh tế prga ,đại học kỹ thuật ostrava ,đại học khoa học ứng dụng saxion ,đại học khó học và công nghệ lunghwa ,đại học taylor's ,đại học fengchia,đại học khoa học và công nghệ quốc gia penghu.",admiss_associate
16,đại học west of england bristol có liên kết với trường tdtu trong chương trình du học luân chuyển campus không ?,có,admiss_associate
17,đại học kinh tế prga có liên kết với trường tdtu trong chương trình du học luân chuyển campus không ?,có,admiss_associate
18,đại học kỹ thuật ostrava có liên kết với trường tdtu trong chương trình du học luân chuyển campus không ?,có,admiss_associate
19,đại học khoa học và công nghệ quốc gia penghu có liên kết với trường tdtu trong chương trình du học luân chuyển campus không ?,có,admiss_associate
20,chương trình du học luân chuyển campus có bao nhiêu giai đoạn ?,2,admiss_associate
21,giai đoạn 1 của chương trình du học luân chuyển campus triển khai ở đâu ?,trường tdt việt nam,admiss_associate
22,giai đoạn 2 của chương trình du học luân chuyển campus triển khai ở đâu ?,ở 1 trường đại học liên kết với trường tdtu,admiss_associate
23,giai đoạn 1 của chương trình du học luân chuyển campus kéo dài bao lâu ?,2-3 năm,admiss_associate
24,giai đoạn 2 của chương trình du học luân chuyển campus kéo dài bao lâu ?,1-2 năm,admiss_associate
25,học sinh liên kết thì được đi du học nước nào?,"tùy từng năm, khoa sẽ liên kết với mỗi nước có thể khác nhau.",admiss_associate
26,tdtu liên kết bao nhiêu quốc gia? kể tên?,"137. cộng hòa czech, malaysia, phần lan",admiss_associate
27,sinh viên khoa cntt cần đủ bao nhiêu tín chỉ để tốt nghiệp?,mình nghỉ là 136 tín chỉ.,admiss_faculty
28,khoa cntt có bao nhiêu chuyên ngành?,gồm 4 chuyên ngành,admiss_faculty
29,trưởng khoa cntt đại học tôn đức thắng?,phạm văn huy.,admiss_faculty
30,khoa nào gái nhiều ?,khoa kế toán,admiss_faculty
31,khoa nào nhiều trai nhất ?,khoa điện-điện tử,admiss_faculty
32,thích lập trình nên học nghành nào ?,khoa cntt,admiss_faculty
33,trường tdt có bao nhiêu khoa?,17,admiss_faculty
34,trường gồm bao nhiêu khoa?,17,admiss_faculty
35,trong trường có tuyển sinh khoa dược không?,có,admiss_faculty
36,mà trường bạn có bao nhiêu khoa?,khá nhiều tầm 17 khoa,admiss_faculty
